2022-11-10 18:53:46 - PHP Notice:  Undefined index: telephone in /var/www/html/catalog/controller/account/register.php on line 243
2022-11-10 19:00:54 - PHP Notice:  Undefined index: telephone in /var/www/html/catalog/controller/account/register.php on line 243
2022-11-10 19:01:50 - PHP Notice:  Undefined index: telephone in /var/www/html/catalog/controller/account/register.php on line 243
2022-11-11 1:40:03 - PHP Notice:  Array to string conversion in /var/www/html/system/library/response.php on line 118
2022-11-11 1:49:52 - PHP Notice:  Undefined variable: a in /var/www/html/catalog/controller/checkout/cart.php on line 277
2022-11-11 23:03:23 - PHP Notice:  Undefined index: special in /var/www/html/catalog/controller/checkout/cart.php on line 141
2022-11-11 23:03:23 - PHP Notice:  Undefined index: special in /var/www/html/catalog/controller/checkout/cart.php on line 141
2022-11-11 23:03:23 - PHP Notice:  Undefined index: special in /var/www/html/catalog/controller/checkout/cart.php on line 141
2022-11-11 23:03:52 - PHP Notice:  Undefined index: special in /var/www/html/catalog/controller/checkout/cart.php on line 141
2022-11-11 23:03:52 - PHP Notice:  Undefined index: special in /var/www/html/catalog/controller/checkout/cart.php on line 141
2022-11-11 23:03:52 - PHP Notice:  Undefined index: special in /var/www/html/catalog/controller/checkout/cart.php on line 141
2022-11-11 23:03:54 - PHP Notice:  Undefined index: special in /var/www/html/catalog/controller/checkout/cart.php on line 141
2022-11-11 23:03:54 - PHP Notice:  Undefined index: special in /var/www/html/catalog/controller/checkout/cart.php on line 141
2022-11-11 23:03:54 - PHP Notice:  Undefined index: special in /var/www/html/catalog/controller/checkout/cart.php on line 141
2022-11-11 23:40:35 - PHP Notice:  Undefined variable: product_info in /var/www/html/catalog/controller/checkout/cart.php on line 256
2022-11-11 23:40:35 - PHP Notice:  Trying to access array offset on value of type null in /var/www/html/catalog/controller/checkout/cart.php on line 256
2022-11-11 23:40:35 - PHP Notice:  Undefined variable: product_info in /var/www/html/catalog/controller/checkout/cart.php on line 257
2022-11-11 23:40:35 - PHP Notice:  Trying to access array offset on value of type null in /var/www/html/catalog/controller/checkout/cart.php on line 257
2022-11-11 23:40:55 - PHP Notice:  Undefined variable: product_info in /var/www/html/catalog/controller/checkout/cart.php on line 256
2022-11-11 23:40:55 - PHP Notice:  Trying to access array offset on value of type null in /var/www/html/catalog/controller/checkout/cart.php on line 256
2022-11-11 23:40:55 - PHP Notice:  Undefined variable: product_info in /var/www/html/catalog/controller/checkout/cart.php on line 257
2022-11-11 23:40:55 - PHP Notice:  Trying to access array offset on value of type null in /var/www/html/catalog/controller/checkout/cart.php on line 257
2022-11-12 0:14:05 - PHP Notice:  Undefined index: comment in /var/www/html/catalog/controller/checkout/confirm.php on line 274
2022-11-12 0:14:05 - PHP Notice:  Undefined index: payment_method in /var/www/html/catalog/controller/checkout/confirm.php on line 424
2022-11-12 0:14:05 - PHP Notice:  Trying to access array offset on value of type null in /var/www/html/catalog/controller/checkout/confirm.php on line 424
2022-11-12 0:14:59 - PHP Notice:  Undefined index: comment in /var/www/html/catalog/controller/checkout/confirm.php on line 274
2022-11-12 0:20:35 - PHP Notice:  Undefined index: comment in /var/www/html/catalog/controller/checkout/confirm.php on line 260
2022-11-12 0:20:35 - PHP Notice:  Undefined index: payment_method in /var/www/html/catalog/controller/checkout/confirm.php on line 410
2022-11-12 0:20:35 - PHP Notice:  Trying to access array offset on value of type null in /var/www/html/catalog/controller/checkout/confirm.php on line 410
2022-11-12 0:22:03 - PHP Notice:  Undefined index: comment in /var/www/html/catalog/controller/checkout/confirm.php on line 260
2022-11-12 0:52:37 - PHP Notice:  Trying to access array offset on value of type bool in /var/www/html/catalog/controller/checkout/confirm.php on line 166
